"","dt-time","Activity","Immediate.Spread","Focal","Subgroup"
"964",2015-06-23 17:30:00,"FORAGING/","<50/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"965",2015-06-23 17:45:00,"FORAGING/RESTING/","<50/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"966",2015-06-23 18:00:00,"RESTING/","<50/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"967",2015-06-24 06:30:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"968",2015-06-24 06:45:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"969",2015-06-24 07:00:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"970",2015-06-24 07:15:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"971",2015-06-24 07:30:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"972",2015-06-24 07:45:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"973",2015-06-24 08:00:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"974",2015-06-24 08:15:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"975",2015-06-24 08:30:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"976",2015-06-24 08:45:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"977",2015-06-24 09:00:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"978",2015-06-24 09:15:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"979",2015-06-24 09:30:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"980",2015-06-24 09:45:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"981",2015-06-24 10:00:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"982",2015-06-24 10:15:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"983",2015-06-24 10:30:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"984",2015-06-24 10:45:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"985",2015-06-24 11:00:00,"INACTIVE FUERA DE VISTA/","<75/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"986",2015-06-24 11:15:00,"MOVING/","<25/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"987",2015-06-24 11:30:00,"RESTING/","<25/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"988",2015-06-24 11:45:00,"RESTING/","<25/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"989",2015-06-24 12:00:00,"MOVING/","<50/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"990",2015-06-24 12:15:00,"RESTING/","<50/","DAS","DUK/OLV/OLI/DAH/DAN/DIY/DIT/"
"991",2015-06-25 07:00:00,"RESTING/","<75/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"992",2015-06-25 07:15:00,"RESTING/FORAGING/","<75/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"993",2015-06-25 07:30:00,"RESTING/FORAGING/","<50/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"994",2015-06-25 07:45:00,"RESTING/","<50/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"995",2015-06-25 08:00:00,"RESTING/","<50/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"996",2015-06-25 08:15:00,"RESTING/","<50/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"997",2015-06-25 08:30:00,"RESTING/","<50/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"998",2015-06-25 08:45:00,"RESTING/","<50/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"999",2015-06-25 09:00:00,"RESTING/","<50/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"1000",2015-06-25 09:15:00,"RESTING/","<50/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"1001",2015-06-25 09:30:00,"RESTING/FORAGING/","<50/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"1002",2015-06-25 09:45:00,"RESTING/FORAGING/","<25/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"1003",2015-06-25 10:00:00,"RESTING/","<25/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"1004",2015-06-25 10:15:00,"RESTING/","<25/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"1005",2015-06-25 10:30:00,"RESTING/","<25/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"1006",2015-06-25 10:45:00,"RESTING/","<25/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"1007",2015-06-25 11:00:00,"RESTING/","<25/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"1008",2015-06-25 11:15:00,"RESTING/","<25/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"1009",2015-06-25 11:30:00,"RESTING/","<25/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"1010",2015-06-25 11:45:00,"MOVING/RESTING/","<50/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"1011",2015-06-25 12:00:00,"MOVING/","<50/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"1012",2015-06-25 12:15:00,"MOVING/","<75/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"1013",2015-06-25 12:30:00,"MOVING/FORAGING/","<100/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/"
"1014",2015-06-25 12:45:00,"MOVING/FORAGING/","<150/","DAS","DOC/DLL/DLF/DAO/DAR/DAX/DIY/DIT/DUK/"
"1015",2015-06-25 13:00:00,"MOVING/FORAGING/","<50/","DOC","DLL/DLF/DAR/DAX/DIY/DIT/DUK/"
"1016",2015-06-28 09:15:00,"RESTING/","<50/","DAR","DAX/DAS/OLV/OLI/DAH/DAN/"
"1017",2015-06-28 09:30:00,"RESTING/","<50/","DAR","DAX/DAS/OLV/OLI/DAH/DAN/"
"1018",2015-06-28 09:45:00,"RESTING/","<50/","DAR","DAX/DAS/OLV/OLI/DAH/DAN/"
"1019",2015-06-28 10:00:00,"FORAGING/","<50/","DAR","DAX/DAS/OLV/OLI/DAH/DAN/"
"1020",2015-06-28 10:15:00,"FORAGING/MOVING/","<75/","DAR","DAX/DAS/OLV/OLI/DAH/DAN/"
"1021",2015-06-28 10:30:00,"FORAGING/MOVING/","<100/","DAR","DAX/DAS/OLV/OLI/DAH/DAN/"
"1022",2015-06-28 10:45:00,"MOVING/","<25/","DAR","DAX/DAH/DAN/"
